Open_time,Open,High,Low,Close,Volume,Symbol
2023-01-01 00:00:00,1203.45000000,1205.87000000,1203.44000000,1205.22000000,2577.66050000,ETHUSDT
2023-01-01 00:15:00,1205.22000000,1206.35000000,1203.65000000,1204.38000000,2300.15340000,ETHUSDT
2023-01-01 00:30:00,1204.37000000,1204.38000000,1203.48000000,1203.65000000,1004.89450000,ETHUSDT
2023-01-01 00:45:00,1203.64000000,1204.07000000,1202.49000000,1202.86000000,1859.05130000,ETHUSDT
2023-01-01 01:00:00,1202.85000000,1203.16000000,1202.26000000,1202.26000000,880.38200000,ETHUSDT
2023-01-01 01:15:00,1202.26000000,1203.36000000,1201.06000000,1202.95000000,1286.08430000,ETHUSDT
2023-01-01 01:30:00,1202.95000000,1203.51000000,1202.53000000,1203.27000000,1392.52660000,ETHUSDT
2023-01-01 01:45:00,1203.26000000,1203.92000000,1202.51000000,1202.79000000,1287.32380000,ETHUSDT
2023-01-01 02:00:00,1202.79000000,1203.00000000,1200.60000000,1200.75000000,2611.23400000,ETHUSDT
2023-01-01 02:15:00,1200.76000000,1201.92000000,1198.90000000,1200.15000000,3649.74580000,ETHUSDT
2023-01-01 02:30:00,1200.15000000,1200.66000000,1199.61000000,1200.47000000,902.39070000,ETHUSDT
2023-01-01 02:45:00,1200.47000000,1201.13000000,1200.04000000,1200.78000000,755.32630000,ETHUSDT
2023-01-01 03:00:00,1200.78000000,1200.99000000,1200.54000000,1200.63000000,578.63990000,ETHUSDT
2023-01-01 03:15:00,1200.64000000,1200.64000000,1199.99000000,1200.18000000,979.24390000,ETHUSDT
2023-01-01 03:30:00,1200.18000000,1200.19000000,1199.53000000,1199.63000000,816.43850000,ETHUSDT
2023-01-01 03:45:00,1199.62000000,1200.33000000,1199.24000000,1199.60000000,1043.04560000,ETHUSDT
2023-01-01 04:00:00,1199.59000000,1200.57000000,1199.42000000,1200.56000000,806.03370000,ETHUSDT
2023-01-01 04:15:00,1200.56000000,1200.77000000,1200.02000000,1200.41000000,661.48810000,ETHUSDT
2023-01-01 04:30:00,1200.40000000,1203.17000000,1200.39000000,1202.28000000,2241.71370000,ETHUSDT
2023-01-01 04:45:00,1202.28000000,1205.61000000,1202.28000000,1202.65000000,2725.78490000,ETHUSDT
2023-01-01 05:00:00,1202.66000000,1203.00000000,1202.30000000,1202.65000000,731.89800000,ETHUSDT
2023-01-01 05:15:00,1202.66000000,1203.14000000,1202.62000000,1202.84000000,1090.51960000,ETHUSDT
2023-01-01 05:30:00,1202.85000000,1203.38000000,1202.35000000,1203.37000000,931.76730000,ETHUSDT
2023-01-01 05:45:00,1203.37000000,1203.71000000,1202.33000000,1202.34000000,803.16240000,ETHUSDT
2023-01-01 06:00:00,1202.33000000,1203.00000000,1202.33000000,1202.80000000,600.36140000,ETHUSDT
2023-01-01 06:15:00,1202.80000000,1202.94000000,1201.04000000,1201.54000000,1312.15440000,ETHUSDT
2023-01-01 06:30:00,1201.55000000,1201.55000000,1200.61000000,1200.66000000,756.43000000,ETHUSDT
2023-01-01 06:45:00,1200.65000000,1200.81000000,1199.83000000,1200.10000000,1196.54040000,ETHUSDT
2023-01-01 07:00:00,1200.09000000,1201.11000000,1199.86000000,1200.89000000,1027.85510000,ETHUSDT
