Open,High,Low,Close,Volume
1202.28,1202.46,1202.06,1202.06,779.1246
1202.07,1202.07,1200.45,1201.03,879.2998
1201.04,1202.49,1200.29,1202.15,1864.0278
1202.14,1202.37,1200.16,1200.17,3531.8533
1200.16,1201.3,1199.36,1200.66,2594.3314
1200.66,1201,1199.43,1200.34,2458.3765
1200.33,1201.04,1199.5,1199.97,2168.895
1199.97,1199.97,1197.99,1198.17,1837.0153
1198.17,1198.76,1197.5,1198.46,1492.0823
1198.46,1198.61,1197.61,1198.16,763.1153
1198.16,1198.31,1194.78,1195.76,8246.6119
1195.75,1196.13,1193,1196.09,3685.1617
1196.09,1196.44,1195.27,1196.03,953.3041
1196.03,1196.03,1195.09,1195.16,937.7949
1195.15,1196.41,1194.46,1196.26,1355.2923
1196.27,1196.42,1195.55,1196.2,608.662
1196.21,1196.61,1196.16,1196.61,654.1274
1196.61,1197.24,1196.6,1196.79,541.9336
1196.79,1197.47,1196.58,1196.6,1570.7173
1196.61,1197.24,1196.56,1196.91,857.8667
1196.9,1197.84,1196.9,1197.73,732.6292
1197.72,1203.53,1197.4,1201.94,5749.0388
1201.94,1202.95,1200.14,1200.47,1875.4869
1200.48,1201.11,1199.87,1200.84,2238.8339
1200.85,1201.98,1200.25,1200.72,1522.7995
1200.73,1201.86,1200.57,1201.85,800.7658
1201.85,1202.29,1201.1,1201.21,1189.6371
1201.21,1201.91,1200.15,1201.9,1380.4792
1201.91,1202.55,1201.14,1202.55,1139.6957
1202.55,1202.99,1202.34,1202.35,965.983
1202.36,1204.19,1202.35,1202.75,1620.2473
1202.75,1203.72,1202.58,1202.58,845.2657
1202.58,1202.59,1200.55,1200.95,2176.3035
1200.95,1201.58,1200.79,1201.58,561.9059
1201.58,1208.14,1201.39,1208.07,5467.5191
1208.08,1220,1206.17,1212.95,29824.9883
1212.95,1216.37,1212.01,1215.01,10255.2403
1215.01,1215.37,1212.86,1213.09,4143.371
1213.08,1214.98,1212.74,1214.61,3293.131
1214.61,1216.23,1213.62,1215.24,3697.0553
1215.23,1217.27,1215.23,1215.62,2367.4605
1215.62,1216.68,1214.67,1215.94,2160.4422
1215.93,1218.86,1215.74,1216.8,4704.7121
1216.8,1218.48,1216.68,1217.1,2433.8415
1217.1,1219.32,1217.06,1218.48,2933.8703
1218.48,1218.61,1216.91,1217.18,3647.5816
1217.18,1224.29,1216.61,1220.01,22666.6255
1220,1220.62,1217.75,1218.35,6269.2073
1218.35,1219.46,1217.13,1217.24,2827.1033
1217.24,1218.19,1217.23,1217.75,1515.2005
1217.74,1217.88,1216.97,1217.34,1347.9868
1217.33,1217.34,1215.93,1215.94,1820.4077
1215.93,1216.95,1214.29,1216.48,3418.6657
1216.48,1217.48,1216.47,1217.35,1181.135
1217.35,1218.31,1216.96,1217.4,2430.0765
1217.4,1218.67,1217.17,1217.7,1452.8092
1217.7,1218.07,1217,1217,1147.9654
1217.01,1217.45,1216.61,1216.62,694.9747
1216.62,1217.01,1215.52,1216.29,1839.5988
1216.28,1216.45,1215.33,1216.3,881.6007
1216.3,1216.35,1214.04,1214.08,2676.8199
1214.08,1215.37,1214.08,1214.95,1521.2744
1214.95,1218.39,1214.94,1216.4,4801.0372
1216.39,1217.25,1215.34,1215.75,1613.7783
1215.75,1216.48,1214.92,1216.47,1872.465
1216.48,1217.01,1216.27,1216.78,1629.5854
1216.77,1217.72,1215.45,1216.93,2753.0631
1216.93,1220,1216.92,1218.45,5451.9464
1218.45,1220.98,1218.44,1220.43,3779.6851
1220.44,1220.44,1218.5,1219,2382.2282
1219,1220.29,1218.58,1219.3,2407.627
1219.31,1219.6,1218.09,1218.23,1401.9978
1218.22,1218.75,1217.97,1218.57,1215.1204
1218.57,1218.58,1216.26,1216.51,2263.2864
1216.52,1217.37,1215.74,1216.33,1827.9145
1216.34,1216.93,1216.33,1216.93,719.5347
1216.93,1217.28,1216.1,1216.35,2172.7761
1216.34,1217.14,1216.28,1217.08,636.1243
1217.09,1217.14,1216.66,1216.78,625.5519
1216.79,1218.15,1216.74,1217.85,904.5413
1217.84,1218.13,1217.75,1217.94,676.7166
1217.93,1219.35,1217.63,1218.03,1477.1841
1218.04,1218.26,1218,1218.25,368.3247
1218.26,1218.61,1217.38,1217.38,642.0278
1217.38,1218,1217.38,1217.99,512.1707
1218,1219.3,1217.98,1218.87,1310.2525
1218.88,1218.88,1216.61,1217.42,1024.4896
1217.41,1218.69,1216.84,1218.19,970.3614
1218.2,1218.81,1217.54,1218.8,563.1795
1218.8,1218.81,1218.12,1218.4,590.1811
1218.39,1219.92,1218.18,1218.9,939.513
1218.89,1219.07,1218.09,1218.45,531.0791
1218.45,1219.3,1218.44,1218.47,808.3774
1218.46,1223.85,1218.46,1219.79,3931.7579
1219.79,1220.31,1217.53,1217.81,2696.008
1217.82,1218.05,1217.17,1217.18,1284.4885
1217.18,1217.91,1216.41,1217,2495.3653
1217.01,1217.01,1211.22,1215.11,6291.7627
1215.1,1217.11,1212.82,1215.97,3882.8109
1215.96,1216.17,1214.96,1215.69,1687.6862
1215.68,1216.17,1214.2,1215.85,1825.5831
1215.86,1215.86,1213.32,1214,2734.2409
1213.99,1215.73,1213,1215.47,2501.9623
1215.47,1215.88,1214.26,1214.32,1039.9624
1214.31,1216.68,1214.31,1216.41,1344.0759
1216.42,1216.81,1215.43,1215.55,1031.0902
1215.55,1215.79,1214.03,1214.12,2026.1275
1214.11,1214.3,1211.5,1212.14,2561.8229
1212.14,1214.39,1211.56,1213.57,1983.9418
1213.56,1214.27,1212.82,1214.14,954.2141
1214.13,1214.8,1212.97,1214.8,1260.5601
1214.8,1214.8,1213.95,1214.08,1051.1252
1214.08,1215.22,1214.08,1215.1,1689.6247
1215.09,1215.17,1214.21,1214.22,793.978
1214.21,1214.22,1212.93,1213.26,1731.4763
1213.27,1215.74,1213.06,1214.92,1441.5219
1214.93,1216.21,1214.71,1215.19,1771.7105
1215.18,1215.88,1215.18,1215.59,1565.8554
1215.58,1215.73,1215.17,1215.63,979.6709
1215.63,1215.79,1214.65,1214.95,879.0733
1214.96,1215.05,1214.28,1214.4,834.7976
1214.39,1214.52,1213.41,1213.54,1596.0044
1213.55,1215.38,1213.43,1215.37,1164.4108
1215.37,1216.14,1215.01,1215.15,1032.5311
1215.15,1217.56,1215.15,1216.75,1465.5856
1216.75,1217.86,1216.75,1217.86,1897.2464
1217.85,1219.62,1217.35,1217.5,2974.3417
1217.49,1219.32,1217.49,1219.25,1123.0644
1219.25,1219.89,1216.82,1217.36,2349.6171
1217.36,1217.51,1216.46,1216.8,1138.1572
1216.8,1217.04,1216.06,1216.59,885.4376
1216.59,1216.95,1215.29,1215.85,1317.4672
1215.86,1216.66,1215.66,1216.63,603.3387
